album_d,ttle,artst_d
1,For Those About To Rock We Salute You,1
2,Balls to the Wall,2
3,Restless and Wld,2
4,Let There Be Rock,1
5,Bg Ones,3
6,Jagged Lttle Pll,4
7,Facelft,5
8,Warner 25 Anos,6
9,Plays Metallca By Four Cellos,7
10,Audoslave,8
11,Out Of Exle,8
12,BackBeat Soundtrack,9
13,The Best Of Blly Cobham,10
14,Alcohol Fueled Brewtalty Lve Dsc 1,11
15,Alcohol Fueled Brewtalty Lve Dsc 2,11
16,Black Sabbath,12
17,Black Sabbath Vol 4 Remaster,12
18,Body Count,13
19,Chemcal Weddng,14
20,The Best Of Buddy Guy  The Mllenum Collecton,15
21,Prenda Mnha,16
22,Soznho Remx Ao Vvo,16
23,Mnha Hstora,17
24,Afrocberdela,18
25,Da Lama Ao Caos,18
26,Acastco MTV lve,19
27,Cdade Negra  Hts,19
28,Na Psta,20
29,AxA Baha 2001,21
30,BBC Sessons Dsc 1 lve,22
31,Bongo Fury,23
32,Carnaval 2001,21
33,Chll Brazl Dsc 1,24
34,Chll Brazl Dsc 2,6
35,Garage nc Dsc 1,50
36,Greatest Hts ,51
37,Greatest Kss,52
38,Heart of the Nght,53
39,nternatonal Superhts,54
40,nto The Lght,55
41,Meus Momentos,56
42,Mnha HstA³ra,57
43,MK  The Fnal Concerts Dsc 1,58
44,Physcal Grafft Dsc 1,22
45,Sambas De Enredo 2001,21
46,Supernatural,59
47,The Best of Ed Motta,37
48,The Essental Mles Davs Dsc 1,68
49,The Essental Mles Davs Dsc 2,68
50,The Fnal Concerts Dsc 2,58
51,Up An Atom,69
52,vncus De Moraes  Sem Lmte,70
53,Vozes do MPB,21
54,Chroncle Vol 1,76
55,Chroncle Vol 2,76
56,CA¡ssa Eller  Coleo Sem Lmte Dsc 2,77
57,CA¡ssa Eller  Sem Lmte Dsc 1,77
58,Come Taste The Band,58
59,Deep Purple n Rock,58
60,Freball,58
61,Knockng at Your Back Door The Best Of Deep Purple n the 80s,58
62,Machne Head,58
63,Purpendcular,58
64,Slaves And Masters,58
65,Stormbrnger,58
66,The Battle Rages On,58
67,Vault Def Leppards Greatest Hts,78
68,Outbreak,79
69,Djavan Ao Vvo  Vol 02,80
70,Djavan Ao Vvo  Vol 1,80
71,Els RegnaMnha HstA³ra,41
72,The Cream Of Clapton,81
73,Unplugged,81
74,Album Of The Year,82
75,Angel Dust,82
76,Kng For A Day Fool For A Lfetme,82
77,The Real Thng,82
78,Dexa Entrar,83
79,n Your Honor Dsc 1,84
80,n Your Honor Dsc 2,84
81,One By One,84
82,The Colour And The Shape,84
83,My Way The Best Of Frank Snatra Dsc 1,85
84,Roda De Funk,86
85,As Canµes de Eu Tu Eles,27
86,Quanta Gente Veo Ver Lve,27
87,Quanta Gente Veo verBA´nus De Carnaval,27
88,Faceless,87
89,Amercan dot,54
90,Appette for Destructon,88
91,Use Your lluson ,88
92,Use Your lluson ,88
93,Blue Moods,89
94,A Matter of Lfe and Death,90
95,A Real Dead One,90
96,A Real Lve One,90
97,Brave New World,90
98,Dance Of Death,90
99,Fear Of The Dark,90
100,ron Maden,90
101,Kllers,90
102,Lve After Death,90
103,Lve At Donngton 1992 Dsc 1,90
104,Lve At Donngton 1992 Dsc 2,90
105,No Prayer For The Dyng,90
106,Pece Of Mnd,90
107,Powerslave,90
108,Rock n Ro cd1,90
109,Rock n Ro cd2,90
110,Seventh Son of a Seventh Son,90
111,Somewhere n Tme,90
112,The Number of The Beast,90
113,The X Factor,90
114,Vrtual X,90
115,Sex Machne,91
116,Emergency On Planet Earth,92
117,Synkronzed,92
118,The Return Of The Space Cowboy,92
119,Get Born,93
120,Are You Experenced?,94
121,Surfng wth the Alen Remastered,95
122,Jorge Ben Jor 25 Anos,46
123,Jota Quest1995,96
124,Cafeznho,97
125,Lvng After Mdnght,98
126,Unplugged lve,52
127,BBC Sessons Dsc 2 lve,22
128,Coda,22
129,Houses Of The Holy,22
130,n Through The Out Door,22
131,V,22
132,Led Zeppeln ,22
133,Led Zeppeln ,22
134,Led Zeppeln ,22
135,Physcal Grafft Dsc 2,22
136,Presence,22
137,The Song Remans The Same Dsc 1,22
138,The Song Remans The Same Dsc 2,22
139,A TempestadeTempestade Ou O Lvro Dos Das,99
140,Mas Do Mesmo,99
141,Greatest Hts,100
142,Lulu Santos  RCA 100 Anos De MAsca  Album 01,101
143,Lulu Santos  RCA 100 Anos De MAsca  Album 02,101
144,Msplaced Chldhood,102
145,Barulhnho Bom,103
146,Seek And Shall Fnd More Of The Best 19631981,104
147,The Best Of Men At Work,105
148,Black Album,50
149,Garage nc Dsc 2,50
150,Kll Em All,50
151,Load,50
152,Master Of Puppets,50
153,ReLoad,50
154,Rde The Lghtnng,50
155,St Anger,50
156,And Justce For All,50
157,Mles Ahead,68
158,Mlton Nascmento Ao Vvo,42
159,Mnas,42
160,Ace Of Spades,106
161,Demorou,108
162,Motley Crue Greatest Hts,109
163,From The Muddy Banks Of The Wshkah lve,110
164,Nevermnd,110
165,Compostores,111
166,Olodum,112
167,Acastco MTV,113
168,Arquvo ,113
169,Arquvo Os Paralamas Do Sucesso,113
170,Bark at the Moon Remastered,114
171,Blzzard of Ozz,114
172,Dary of a Madman Remastered,114
173,No More Tears Remastered,114
174,Trbute,114
175,Walkng nto Clarksdale,115
176,Orgnal Soundtracks 1,116
177,The Beast Lve,117
178,Lve On Two Legs lve,118
179,Pearl Jam,118
180,Rot Act,118
181,Ten,118
182,Vs,118
183,Dark Sde Of The Moon,120
184,Os CAes Ladram Mas A Caravana NAo PA¡ra,121
185,Greatest Hts ,51
186,News Of The World,51
187,Out Of Tme,122
188,Green,124
189,New Adventures n HF,124
190,The Best Of REM The RS Years,124
191,Cesta BA¡sca,125
192,Raul Sexas,126
193,Blood Sugar Sex Magk,127
194,By The Way,127
195,Calforncaton,127
196,Retrospectve  19741980,128
197,Santana  As Years Go By,59
198,Santana Lve,59
199,Maqunarama,130
200,O Samba PoconA©,130
201,Judas 0 BSdes and Rartes,131
202,Rotten Apples Greatest Hts,131
203,ASdes,132
204,Mornng Dance,53
205,n Step,133
206,Core,134
207,Mezmerze,135
208,Black Lght Syndrome,136
209,Lve Dsc 1,137
210,Lve Dsc 2,137
211,The Sngles,138
212,Beyond Good And Evl,139
213,Pure Cult The Best Of The Cult For Rockers Ravers Lovers & Snners uk,139
214,The Doors,140
215,The Polce Greatest Hts,141
216,Hot Rocks 19641971 Dsc 1,142
217,No Securty,142
218,Voodoo Lounge,142
219,Tangents,143
220,Transmsson,143
221,My Generaton  The Very Best Of The Who,144
222,Sere Sem Lmte Dsc 1,145
223,Sere Sem Lmte Dsc 2,145
224,Acastco,146
225,Volume Dos,146
226,Battlestar Galactca The Story So Far,147
227,Battlestar Galactca Season 3,147
228,Heroes Season 1,148
229,Lost Season 3,149
230,Lost Season 1,149
231,Lost Season 2,149
232,Achtung Baby,150
233,All That You Cant Leave Behnd,150
234,BSdes 19801990,150
235,How To Dsmantle An Atomc Bomb,150
236,Pop,150
237,Rattle And Hum,150
238,The Best Of 19801990,150
239,War,150
240,Zooropa,150
241,UB40 The Best Of  Volume Two uk,151
242,Dver Down,152
243,The Best Of Van Halen Vol ,152
244,Van Halen,152
245,Van Halen ,152
246,Contraband,153
247,Vncus De Moraes,72
248,Ao Vvo mport,155
249,The Offce Season 1,156
250,The Offce Season 2,156
251,The Offce Season 3,156
252,UnLedEd,157
253,Battlestar Galactca Classc Season 1,158
254,Aquaman,159
255,nstant Karma The Amnesty nternatonal Campagn to Save Darfur,150
256,Speak of the Devl,114
257,20th Century Masters  The Mllennum Collecton The Best of Scorpons,179
258,House of Pan,180
259,Rado Brasl O Som da Jovem Vanguarda  Seleccao de Henrque Amaro,36
260,Cake BSdes and Rartes,196
261,LOST Season 4,149
262,Quet Songs,197
263,Muso Ko,198
264,Realze,199
265,Every Knd of Lght,200
266,Duos ,201
267,Worlds,202
268,The Best of Beethoven,203
269,Temple of the Dog,204
270,Carry On,205
271,Revelatons,8
272,Adorate Deum Gregoran Chant from the Proper of the Mass,206
273,Allegr Mserere,207
274,Pachelbel Canon & Ggue,208
275,Vvald The Four Seasons,209
276,Bach Voln Concertos,210
277,Bach Goldberg Varatons,211
278,Bach The Cello Sutes,212
279,Handel The Messah Hghlghts,213
280,The World of Classcal Favourtes,214
281,Sr Nevlle Marrner A Celebraton,215
282,Mozart Wnd Concertos,216
283,Haydn Symphones 99  104,217
284,Beethoven Symhones Nos 5 & 6,218
285,A Soprano nspred,219
286,Great Opera Choruses,220
287,Wagner Favourte Overtures,221
288,FaurA© Requem Ravel Pavane & Others,222
289,Tchakovsky The Nutcracker,223
290,The Last Nght of the Proms,224
291,Puccn Madama Butterfly  Hghlghts,225
292,Holst The Planets Op 32 & Vaughan Wllams Fantases,226
293,Pavarotts Opera Made Easy,227
294,Great Performances  Barbers Adago and Other Romantc Favortes for Strngs,228
295,Carmna Burana,229
296,A Copland Celebraton Vol ,230
297,Bach Toccata & Fugue n D Mnor,231
298,Prokofev Symphony No1,232
299,Scheherazade,233
300,Bach The Brandenburg Concertos,234
301,Chopn Pano Concertos Nos 1 & 2,235
302,Mascagn Cavallera Rustcana,236
303,Sbelus Fnlanda,237
304,Beethoven Pano Sonatas Moonlght & Pastorale,238
305,Great Recordngs of the Century  Mahler Das Led von der Erde,240
306,Elgar Cello Concerto & Vaughan Wllams Fantasas,241
307,Adams John The Charman Dances,242
308,Tchakovsky 1812 Festval Overture Op49 Caprcco talen & Beethoven Wellngtons Vctory,243
309,Palestrna Mssa Papae Marcell & Allegr Mserere,244
310,Prokofev Romeo & Julet,245
311,Strauss Waltzes,226
312,Berloz Symphone Fantastque,245
313,Bzet Carmen Hghlghts,246
314,Englsh Renassance,247
315,Handel Musc for the Royal Freworks Orgnal Verson 1749,208
316,Greg Peer Gynt Sutes & Sbelus PellA©as et MA©lsande,248
317,Mozart Gala Famous Aras,249
318,SCRABN Vers la flamme,250
319,Armada Musc from the Courts of England and Span,251
320,Mozart Symphones Nos 40 & 41,248
321,Back to Black,252
322,Frank,252
323,Carred to Dust Bonus Track Verson,253
324,Beethoven Symphony No 6 Pastoral Etc,254
325,Bartok Voln & Vola Concertos,255
326,Mendelssohn A Mdsummer Nghts Dream,256
327,Bach Orchestral Sutes Nos 1 to 4,257
328,Charpenter Dvertssements Ars & Concerts,258
329,South Amercan Getaway,259
330,GA³reck Symphony No 3,260
331,Purcell The Fary Queen,261
332,The Ultmate Relexaton Album,262
333,Purcell Musc for the Queen Mary,263
334,Well The Seven Deadly Sns,264
335,JS Bach Chaconne Sute n E Mnor Partta n E Major & Prelude Fugue and Allegro,265
336,Prokofev Symphony No5 & Stravnksy Le Sacre Du Prntemps,248
337,Szymanowsk Pano Works Vol 1,266
338,Nelsen The Sx Symphones,267
339,Great Recordngs of the Century Paganns 24 Caprces,268
340,Lszt  12 Atudes DExecuton Transcendante,269
341,Great Recordngs of the Century  Shubert Schwanengesang 4 Leder,270
342,Locatell Concertos for Voln Strngs and Contnuo Vol 3,271
343,RespghPnes of Rome,226
344,Schubert The Late Strng Quartets & Strng Quntet 3 CDs,272
345,Monteverd LOrfeo,273
346,Mozart Chamber Musc,274
347,Koyaansqats Soundtrack from the Moton Pcture,275
